Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil Moisture Class,Soil Moisture Subclass,Soil Taxonomy Classification,Soil Taxonomy Great Group,Soil Taxonomy Order,Soil Temperature Regime,Hydric Rating,National Commodity Crop Productivity Index,Non-Irrigated Capability Class,Non-Irrigated Capability Subclass,
GbA,"Greenbelt loam, 0 to 3 percent slopes",2.7,0.20%,Udic,Typic,"Coarse-loamy, mixed, active, mesic Dystric Eutrudepts",Eutrudepts,Inceptisols,Inceptisols,0,0.639,1,,Mineral Soil
GUA,"Greenbelt-Urban land complex, 0 to 3 percent slopes",0,0.00%,Udic,Typic,"Coarse-loamy, mixed, active, mesic Dystric Eutrudepts",Eutrudepts,Inceptisols,Inceptisols,0,0.627,1,,Mineral Soil
GUB,"Greenbelt-Urban land complex, 3 to 8 percent slopes",4.8,0.30%,Udic,Typic,"Coarse-loamy, mixed, active, mesic Dystric Eutrudepts",Eutrudepts,Inceptisols,Inceptisols,0,0.621,2,e,Mineral Soil
GUC,"Greenbelt-Urban land complex, 8 to 15 percent slopes",5.4,0.40%,Udic,Typic,"Coarse-loamy, mixed, active, mesic Dystric Eutrudepts",Eutrudepts,Inceptisols,Inceptisols,0,0.604,3,e,Mineral Soil
UFA,"Urban land-Flatbush complex, 0 to 3 percent slopes",0.2,0.00%,,,,,,,0,0.521,8,s,Mineral Soil
UGAl,"Urban land-Greenbelt complex, 0 to 3 percent slopes, low impervious surface",8.6,0.60%,,,,,,,0,0.569,8,s,Mineral Soil
UGB,"Urban land-Greenbelt complex, 3 to 8 percent slopes",829,60.30%,,,,,,,0,0.536,8,s,Mineral Soil
UGBl,"Urban land-Greenbelt complex, 3 to 8 percent slopes, low impervious surface",137.4,10.00%,,,,,,,0,0.562,8,s,Mineral Soil
UoA,"Urban land, outwash substratum, 0 to 3 percent slopes",0.8,0.10%,,,,,,,0,0.527,8,s,Mineral Soil
UtA,"Urban land, till substratum, 0 to 3 percent slopes",14,1.00%,,,,,,,0,0.492,8,s,Mineral Soil
UtB,"Urban land, till substratum, 3 to 8 percent slopes",371.3,27.00%,,,,,,,0,0.486,8,s,Mineral Soil
