"Cambic horizon"||22|||107|||85||"25532852"|"16000508"
"Ochric epipedon"|0|0|0|5|22|25|5|22|25|"25532852"|"16000509"
"Cambic horizon"||6|||200|||194||"25532853"|"16000511"
"Aquic conditions"||61|||200|||139||"25532853"|"16000512"
"Ochric epipedon"||0|||6|||6||"25532853"|"16000510"
"Ochric epipedon"||0|||20|||20||"25532854"|"16000513"
"Cambic horizon"||5|||28|||23||"25532855"|"16000515"
"Ochric epipedon"||0|||5|||5||"25532855"|"16000514"
"Lithologic discontinuity"||140|||200|||60||"25532855"|"16000516"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25532856"|"16000518"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25532856"|"16000517"
"Cambic horizon"||20|||80|||60||"25532857"|"16000520"
"Ochric epipedon"||0|||20|||20||"25532857"|"16000519"
"Lithologic discontinuity"||80|||200|||120||"25532857"|"16000521"
"Cambic horizon"||113|||200|||87||"25532858"|"16000523"
"Ochric epipedon"||0|||33|||33||"25532858"|"16000522"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25532894"|"16000588"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25532894"|"16000587"
"Cambic horizon"||17|||69|||52||"25532895"|"16000590"
"Ochric epipedon"||0|||17|||17||"25532895"|"16000589"
"Cambic horizon"||6|||183|||177||"25532896"|"16000592"
"Aquic conditions"||61|||183|||122||"25532896"|"16000593"
"Ochric epipedon"||0|||6|||6||"25532896"|"16000591"
"Ochric epipedon"||0|||20|||20||"25532897"|"16000594"
"Cambic horizon"||5|||28|||23||"25532950"|"16000705"
"Ochric epipedon"||0|||5|||5||"25532950"|"16000704"
"Lithologic discontinuity"||140|||200|||60||"25532950"|"16000706"
"Ochric epipedon"||0|||20|||20||"25532951"|"16000707"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25532953"|"16000709"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25532953"|"16000708"
"Cambic horizon"||17|||69|||52||"25532954"|"16000711"
"Ochric epipedon"||0|||17|||17||"25532954"|"16000710"
"Cambic horizon"||17|||69|||52||"25533246"|"16001259"
"Ochric epipedon"||0|||17|||17||"25533246"|"16001258"
"Cambic horizon"||5|||28|||23||"25533247"|"16001261"
"Ochric epipedon"||0|||5|||5||"25533247"|"16001260"
"Lithologic discontinuity"||140|||200|||60||"25533247"|"16001262"
"Ochric epipedon"||0|||20|||20||"25533248"|"16001263"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25533250"|"16001265"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25533250"|"16001264"
"Cambic horizon"||22|||107|||85||"25532961"|"16000721"
"Ochric epipedon"|0|0|0|5|22|25|5|22|25|"25532961"|"16000720"
"Ochric epipedon"||0|||20|||20||"25532962"|"16000722"
"Cambic horizon"||17|||69|||52||"25532963"|"16000724"
"Ochric epipedon"||0|||17|||17||"25532963"|"16000723"
"Cambic horizon"||5|||28|||23||"25532964"|"16000726"
"Ochric epipedon"||0|||5|||5||"25532964"|"16000725"
"Lithologic discontinuity"||140|||200|||60||"25532964"|"16000727"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25532965"|"16000729"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25532965"|"16000728"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25533176"|"16001134"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25533176"|"16001133"
"Cambic horizon"||6|||183|||177||"25533178"|"16001136"
"Aquic conditions"||61|||183|||122||"25533178"|"16001137"
"Ochric epipedon"||0|||6|||6||"25533178"|"16001135"
"Cambic horizon"||17|||69|||52||"25533179"|"16001139"
"Ochric epipedon"||0|||17|||17||"25533179"|"16001138"
"Ochric epipedon"||0|||20|||20||"25533180"|"16001140"
"Cambic horizon"||17|||69|||52||"25533028"|"16000841"
"Ochric epipedon"||0|||17|||17||"25533028"|"16000840"
"Cambic horizon"||113|||200|||87||"25533029"|"16000843"
"Ochric epipedon"||0|||33|||33||"25533029"|"16000842"
"Ochric epipedon"||0|||20|||20||"25533030"|"16000844"
"Cambic horizon"||5|||28|||23||"25533031"|"16000846"
"Ochric epipedon"||0|||5|||5||"25533031"|"16000845"
"Lithologic discontinuity"||140|||200|||60||"25533031"|"16000847"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25533032"|"16000849"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25533032"|"16000848"
"Cambic horizon"||6|||183|||177||"25533033"|"16000851"
"Aquic conditions"||61|||183|||122||"25533033"|"16000852"
"Ochric epipedon"||0|||6|||6||"25533033"|"16000850"
"Cambic horizon"||5|||28|||23||"25533337"|"16001442"
"Ochric epipedon"||0|||5|||5||"25533337"|"16001441"
"Lithologic discontinuity"||140|||200|||60||"25533337"|"16001443"
"Ochric epipedon"||0|||20|||20||"25533338"|"16001444"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25533340"|"16001445"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25533340"|"16001446"
"Cambic horizon"||17|||69|||52||"25533341"|"16001448"
"Ochric epipedon"||0|||17|||17||"25533341"|"16001447"
"Cambic horizon"||6|||183|||177||"25533342"|"16001450"
"Aquic conditions"||61|||183|||122||"25533342"|"16001451"
"Ochric epipedon"||0|||6|||6||"25533342"|"16001449"
"Cambic horizon"||5|||28|||23||"25533195"|"16001168"
"Ochric epipedon"||0|||5|||5||"25533195"|"16001167"
"Lithologic discontinuity"||140|||200|||60||"25533195"|"16001169"
"Ochric epipedon"||0|||20|||20||"25533196"|"16001170"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25533198"|"16001172"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25533198"|"16001171"
"Cambic horizon"||6|||183|||177||"25533199"|"16001174"
"Aquic conditions"||61|||183|||122||"25533199"|"16001175"
"Ochric epipedon"||0|||6|||6||"25533199"|"16001173"
"Cambic horizon"||17|||69|||52||"25533200"|"16001177"
"Ochric epipedon"||0|||17|||17||"25533200"|"16001176"
"Cambic horizon"||5|||28|||23||"25533085"|"16000945"
"Ochric epipedon"||0|||5|||5||"25533085"|"16000944"
"Lithologic discontinuity"||140|||200|||60||"25533085"|"16000946"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25533086"|"16000948"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25533086"|"16000947"
"Cambic horizon"||6|||183|||177||"25533087"|"16000950"
"Aquic conditions"||61|||183|||122||"25533087"|"16000951"
"Ochric epipedon"||0|||6|||6||"25533087"|"16000949"
"Cambic horizon"||17|||69|||52||"25533088"|"16000953"
"Ochric epipedon"||0|||17|||17||"25533088"|"16000952"
"Ochric epipedon"||0|||20|||20||"25533089"|"16000954"
"Cambic horizon"|8|13|18|51|76|102|33|63|75|"25533268"|"16001302"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"25533268"|"16001301"
"Cambic horizon"||17|||69|||52||"25533269"|"16001304"
"Ochric epipedon"||0|||17|||17||"25533269"|"16001303"
"Cambic horizon"||6|||183|||177||"25533270"|"16001306"
"Aquic conditions"||61|||183|||122||"25533270"|"16001307"
"Ochric epipedon"||0|||6|||6||"25533270"|"16001305"
