"2^C"|2|"^C"||||51|||183|||132||0|0|0|0|0|0|60|80|100|50|70|100|30|55|80|5|20|30|78|90|90||0.6|||12.3|||34.9|||35.5|||6.7||8|8|18||4|||4||2|2|4|0|0|2|0|0.5|1||||1.73|1.79|2||||1.73|1.79|2||1.1|50|100|0.04|0.04|0.1|8.7|12.7|19.9|5.1|8.1|14.3|1|1.9|5|14|24|33||||0|0|14|0|0|0|0|0|0|".05"|".10"|0|2|10|0||0|0|0|0|0|0|0||||||||||5.1|8.6|8.6||||||||||0|||||||||||||||||||||||"25532851"|"76205264"
"M1"||"M"||1||0|||15|||15|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0.009||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"25532851"|"76205262"
"M2"||"M"||2||15|||51|||36|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0.009||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"25532851"|"76205263"
"2BCb"|2|"BC"||||83|||107|||24||0|0|0|0|0|21|56|98|100|51|98|100|35|76|88|15|39|44|56.4|64.4|86.4|0.8|3.1|7.1|7.5|12.9|23.6|15.5|24.3|45.8|11.7|16.9|32|2.8|7.2|10.7|8.7|25.6|33.5|3.2|11.1|16|3.3|14.5|20.5|3.7|10|12.1|0|0|0|0.05|0.12|0.16||||1.25|1.4|1.64||||1.28|1.43|1.67||14|28|42|0.05|0.13|0.13||||5.6|15.5|17|1.3|6|7.3|20|44|50|0.1|0.6|0.8|0|21|23|0|6|7|0|0|0|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0||||1.1|3.4|4.7|0.7|1.7|4|4.5|5.2|6||||||||||3.7|6.9|9.2|||||||||||||||||||||"25532852"|"76205266"
"^A"||"^A"|||0|0|0|5|22|25||22||0|0|0|0|0|8|78|96|100|76|96|100|64|85|93|46|62|69|31.9|40.9|47.2|0|2|3.2|5.7|7.1|12.1|1.2|11|17.9|8.5|11.3|14|5.5|9.5|16.7|41.4|43.9|50.2|13.5|19.4|21.5|20.2|24.5|29.2|10.9|15.2|17.9|0|0|0.8|1.67|8.7|12.32||||1.01|1.39|1.6||||1.05|1.43|1.64||3|5|10|0.15|0.17|0.21||||19.5|32.2|36|6.7|19.4|25.9|25|39|55|0.4|0.9|1.6|25|44|54|6|9|11|0|5|9|".24"|".24"|0|0|6|0|0|0|0|0|0|0|0|0||||2.2|3.4|4.9|2.6|2.8||5.1|5.2|7.8||||||||||3.9|22.6|30.1|||||||||||||||||||||"25532852"|"76205269"
"2C"|2|"C"||||107|||183|||76||0|0|0|0|0|17|34|42|92|28|37|92|17|27|85|4|7|23|77.7|83.4|100|0|4.8|18.7|0.1|13.9|39.5|11.6|35.5|65.9|3.3|23.4|75.5|0.2|5.8|13.8|0|11.8|17.9|0|5.2|9|0|6.6|10.6|0|4.8|7.3|0|0|0|0.05|0.07|0.1||||1.45|1.55|1.6||||1.46|1.56|1.61||141|141|141|0.03|0.04|0.08|2.5|9|19.2|1|6.1|13.9|0.1|1.7|5|13|20|41|0|0.1|0.5|0|16|18|0|2|4|0|0|0|".02"|".05"|0|0|0|0|0|0|0|0|0|0|0|0|0.1|2.5|3.8||||0|0.4|3.8|4.5|5.5|7.3||||||||||0|5|10.7|||||||||||||||||||||"25532852"|"76205265"
"2Bwb"|2|"B"||||64|||83|||19||0|0|0|0|0|7|58|98|100|52|98|100|39|85|98|20|48|63|17|58.8|77.7|0|2.9|5.3|0.9|7.2|23.6|1.2|14.5|31.4|4.6|20.1|21.3|3|14.1|16.7|15.3|31.9|65.1|6|16.5|34.3|9.3|15.4|35|4.9|9.3|17.9|0|0|0|0.17|0.55|1.38||||1.2|1.5|1.63||||1.22|1.52|1.65||4.01|6|10|0.09|0.13|0.18||||7.7|16.6|22.8|2.2|7|14|23|40|52|0.1|0.5|1.1|16|21|31|2|5|12|0|0|5|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0||||1.1|2.6|6.4|0.5|1|6.1|3.6|5.2|6||||||||||4|7.3|14.4|||||||||||||||||||||"25532852"|"76205267"
"^Bwu"||"^B"|||5|22|25||64|||42||0|0|0|0|0|7|58|90|100|52|88|100|43|85|100|20|51|76|17|62.5|77.7|0.2|0.8|16.6|0.6|2.1|23.6|1.4|4.5|33.4|4.6|19.7|29.5|1.2|35.4|48.2|13.3|29.9|65.1|0.2|21|34.3|4.5|8.9|35|3|7.6|17.9|0|0|0.8|0.36|2.21|12.32||||1.2|1.5|1.62||||1.22|1.52|1.64||4.01|6|10|0.09|0.16|0.21||||6.5|16.9|39|1.6|7.9|29.3|21|37|51|0.1|0.5|1.4|0|23|54|0|4|11|0|0|11|".49"|".49"|0|0|10|0|0|0|0|0|0|0|0|0|1.6|4.2|9.5||||0.2|0.8|48.2|5.1|5.6|7.8||||||||||0|6.2|15.5|||||||||||||||||||||"25532852"|"76205268"
"^A"||"^A"||||0|||6|||6||0|0|30|0|0|30|72|95|100|70|95|100|55|81|95|30|48|61|48.2|56.4|73.9|0.5|3.3|6|2.5|7.7|10.9|6.7|14.8|20.9|12.9|18.5|29.5|8.7|12.1|23.7|21.1|32.5|45.2|10.2|14.2|29.6|8.5|18.3|24.4|3.9|11.1|17.8|0|0|0.8|1.67|8.7|12.32||||0.7|1|1.56||||0.72|1.02|1.58||4|20|42|0.14|0.18|0.18||||6.1|21.9|26.4|1.7|13|19.3|16|52|64|0.1|0.6|1.6|19|41|54|1|6|11|0|1|7|".32"|".32"|0|0|6|0|0|0|0|0|0|0|0|0||||0.7|2.4|4.9|1.6|1.8||4.5|5|6.5||||||||||5.4|22.2|31.3|||||||||||||||||||||"25532853"|"76205270"
"^Bw1"||"^B"||1||6|||51|||45||0|7|13|0|8|20|58|81|100|54|80|100|42|68|92|23|40|57|17|56.4|76.3|0.2|3.3|10.6|0.6|7.7|23.6|1.4|14.8|33|4.6|18.5|29.5|3|12.1|48.2|15.3|32.5|65.1|1.1|14.2|34.3|4.5|18.3|35|3|11.1|17.9|0|0|0.8|0.36|2.21|4.17||||1.34|1.61|1.7||||1.36|1.63|1.72||1.411|4|42|0.09|0.14|0.24||||5.3|16.2|26.3|1.3|8.9|19.1|16|28|46|0.1|0.4|1.1|0|26|36|0|6|11|0|0|7|".20"|".37"|0|0|10|0|0|0|0|0|0|0|0|0||||0.6|2.8|5.9|0.5|1.6||4.5|5.4|6.5||||||||||3|10.1|17.3|||||||||||||||||||||"25532853"|"76205275"
