"Fine sandy loam"||"154318628"|"156950844"
"Sandy loam"||"154317460"|"156953917"
"Sandy loam"||"154317046"|"156951390"
"Coarse sandy loam"||"154321720"|"156954759"
"Silt loam"||"154319199"|"156950607"
"Loam"||"154317977"|"156950890"
"Loam"||"154320938"|"156951352"
"Sandy loam"||"154320942"|"156951349"
"Sandy loam"||"154317059"|"156952259"
"Coarse sandy loam"||"154321522"|"156954604"
"Sandy loam"||"154318610"|"156951024"
|"Stones"|"154318060"|"156951233"
"Coarse sandy loam"||"154317035"|"156954616"
"Sandy loam"||"154317080"|"156952892"
"Sandy loam"||"154320781"|"156953734"
"Sandy loam"||"154320984"|"156954026"
"Sandy loam"||"154322493"|"156951073"
"Loam"||"154318602"|"156951315"
"Sandy loam"||"154321501"|"156953751"
"Loam"||"154318081"|"156952545"
"Sandy loam"||"154317966"|"156950833"
"Coarse sandy loam"||"154320958"|"156953936"
"Sandy loam"||"154317449"|"156953811"
|"Material"|"154316998"|"156950681"
"Loam"||"154320752"|"156952456"
"Fine sandy loam"||"154317024"|"156953237"
|"Stones"|"154321512"|"156951238"
"Silt loam"||"154317436"|"156952276"
"Silt loam"||"154319186"|"156952398"
"Silt loam"||"154318599"|"156951464"
"Silt loam"||"154319177"|"156951080"
"Sandy loam"||"154319190"|"156950853"
"Sandy loam"||"154322522"|"156952394"
"Loam"||"154318070"|"156951523"
"Coarse sandy loam"||"154320953"|"156953838"
|"Stones"|"154320947"|"156951207"
"Sandy loam"||"154320770"|"156950730"
"Silt loam"||"154317049"|"156951116"
"Silt loam"||"154321500"|"156953750"
"Silt loam"||"154321709"|"156950617"
"Sandy loam"||"154318071"|"156951524"
"Silt loam"||"154320990"|"156953601"
"Fine sandy loam"||"154322535"|"156950850"
"Silt loam"||"154317031"|"156953238"
"Loam"||"154320759"|"156952457"
"Silt loam"||"154319168"|"156951082"
"Coarse sandy loam"||"154318595"|"156951314"
"Silt loam"||"154318050"|"156954441"
|"Material"|"154317469"|"156953474"
"Silt loam"||"154320969"|"156952405"
"Loam"||"154322524"|"156952107"
"Sandy loam"||"154319166"|"156951356"
"Silt loam"||"154322511"|"156954058"
"Sandy loam"||"154320750"|"156952455"
"Loam"||"154321532"|"156950758"
"Coarse sandy loam"||"154321511"|"156951237"
"Loamy sand"||"154318029"|"156950552"
"Fine sandy loam"||"154319197"|"156950608"
"Silt loam"||"154320763"|"156950611"
"Sandy loam"||"154318632"|"156950846"
"Sandy loam"||"154317013"|"156955234"
"Sandy loam"||"154319208"|"156953309"
"Silt loam"||"154320957"|"156954060"
"Sandy loam"||"154319179"|"156952108"
"Sandy loam"||"154317976"|"156950889"
|"Stones"|"154322500"|"156951205"
"Silt loam"||"154322533"|"156950996"
"Sandy loam"||"154320761"|"156953371"
|"Stones"|"154320943"|"156951074"
"Fine sandy loam"||"154317456"|"156954163"
"Loamy coarse sand"||"154318573"|"156953294"
"Coarse sandy loam"||"154321521"|"156954726"
"Sandy loam"||"154320968"|"156952118"
"Fine sand"||"154318584"|"156952920"
"Sandy loam"||"154320772"|"156950856"
"Coarse sandy loam"||"154321722"|"156954472"
"Sandy loam"||"154321698"|"156953735"
"Sandy loam"||"154318621"|"156950595"
"Loam"||"154317042"|"156951393"
"Coarse sandy loam"||"154320783"|"156954757"
"Sandy loam"||"154322513"|"156950707"
"Sandy loam"||"154318061"|"156951234"
"Sandy loam"||"154320979"|"156953909"
"Sandy loam"||"154317438"|"156952278"
"Sandy loam"||"154321711"|"156950733"
"Coarse sandy loam"||"154320946"|"156951206"
"Fine sandy loam"||"154317005"|"156954769"
"Sandy loam"||"154320972"|"156954153"
"Silt loam"||"154318039"|"156951414"
"Coarse sandy loam"||"154319213"|"156954184"
"Loamy coarse sand"||"154321699"|"156953736"
"Coarse sandy loam"||"154317467"|"156954738"
|"Stones"|"154322502"|"156951348"
"Sand"||"154318030"|"156950553"
"Sandy loam"||"154320782"|"156953332"
|"Material"|"154317965"|"156950706"
"Coarse sand"||"154317071"|"156951745"
"Silt loam"||"154320954"|"156953839"
"Sandy loam"||"154321530"|"156950757"
"Sandy loam"||"154318577"|"156953746"
|"Stones"|"154318598"|"156951463"
"Silt loam"||"154317954"|"156951241"
"Sandy loam"||"154317978"|"156953586"
"Loamy coarse sand"||"154318052"|"156953767"
"Silt loam"||"154317060"|"156952260"
"Silt loam"||"154322523"|"156952527"
"Loam"||"154322491"|"156951493"
"Silt loam"||"154320751"|"156952586"
"Coarse sandy loam"||"154318063"|"156951236"
"Sandy loam"||"154318587"|"156953348"
|"Material"|"154318028"|"156950551"
"Sandy loam"||"154322544"|"156950726"
"Coarse sandy loam"||"154318588"|"156954036"
"Fine sandy loam"||"154318624"|"156950716"
"Sandy loam"||"154321701"|"156953334"
"Sandy loam"||"154320983"|"156953807"
"Sandy loam"||"154317069"|"156951597"
"Sandy loam"||"154322492"|"156951494"
"Silt loam"||"154317947"|"156951111"
"Coarse sandy loam"||"154318592"|"156953816"
"Loamy coarse sand"||"154320987"|"156953711"
"Silt loam"||"154320961"|"156950837"
"Sandy loam"||"154318059"|"156951375"
"Sandy loam"||"154317457"|"156954161"
"Silt loam"||"154318041"|"156951143"
"Fine sandy loam"||"154317082"|"156951655"
"Coarse sand"||"154317020"|"156953424"
"Silt loam"||"154321700"|"156953892"
"Sandy loam"||"154321502"|"156951107"
"Silt loam"||"154317458"|"156954162"
"Sandy loam"||"154321499"|"156953749"
"Sandy loam"||"154319178"|"156951212"
"Silt loam"||"154321689"|"156952311"
"Silt loam"||"154318625"|"156950717"
"Sandy loam"||"154319167"|"156951500"
"Silt loam"||"154321721"|"156954471"
"Silt loam"||"154318614"|"156951442"
|"Stones"|"154317047"|"156951115"
"Sandy loam"||"154317945"|"156951386"
"Sandy loam"||"154318613"|"156950750"
"Sandy loam"||"154320939"|"156951496"
"Sandy loam"||"154321710"|"156951006"
"Loam"||"154319188"|"156952146"
"Fine sandy loam"||"154317009"|"156955232"
"Silt loam"||"154321510"|"156951105"
"Sandy loam"||"154317447"|"156953320"
"Silt loam"||"154317967"|"156950834"
"Loam"||"154321690"|"156952312"
"Sandy loam"||"154318072"|"156952542"
"Sandy loam"||"154318080"|"156952163"
"Coarse sandy loam"||"154317958"|"156954442"
"Sandy loam"||"154318603"|"156951042"
"Loam"||"154317058"|"156952414"
"Silt loam"||"154317956"|"156951244"
"Silt loam"||"154317468"|"156954614"
"Silt loam"||"154320950"|"156951351"
"Coarse sandy loam"||"154319209"|"156953937"
"Silt loam"||"154318068"|"156951521"
"Silt loam"||"154318594"|"156953918"
"Silt loam"||"154317979"|"156953694"
"Sandy loam"||"154321535"|"156951451"
|"Stones"|"154317953"|"156951384"
"Coarse sandy loam"||"154317034"|"156954740"
"Sandy loam"||"154322543"|"156950998"
"Loam"||"154321693"|"156952459"
"Sandy loam"||"154319187"|"156952145"
|"Stones"|"154317051"|"156951537"
"Silt loam"||"154321513"|"156951239"
"Silt loam"||"154322514"|"156950982"
|"Stones"|"154319176"|"156951213"
"Sandy loam"||"154317045"|"156951250"
"Silt loam"||"154320773"|"156950857"
"Sandy loam"||"154322532"|"156950723"
|"Material"|"154316999"|"156950954"
"Coarse sandy loam"||"154322506"|"156954179"
|"Material"|"154321524"|"156950790"
"Sandy loam"||"154320960"|"156950836"
"Silt loam"||"154317010"|"156955233"
"Silt loam"||"154318576"|"156953745"
"Sandy loam"||"154319198"|"156950728"
"Loam"||"154320971"|"156952406"
"Sandy loam"||"154317062"|"156952262"
"Fine sandy loam"||"154321708"|"156950732"
"Sandy loam"||"154322540"|"156950604"
"Sandy loam"||"154317056"|"156952413"
"Coarse sandy loam"||"154321719"|"156954634"
"Sandy loam"||"154317023"|"156953519"
"Sandy loam"||"154317067"|"156951873"
"Silt loam"||"154321523"|"156954727"
"Silt loam"||"154318057"|"156951103"
"Silt loam"||"154322503"|"156951072"
"Silt loam"||"154318605"|"156951316"
"Silt loam"||"154321534"|"156951450"
"Sandy loam"||"154318618"|"156950751"
"Sandy loam"||"154317461"|"156954035"
"Loam"||"154319165"|"156951081"
"Sandy loam"||"154317943"|"156951385"
"Sandy loam"||"154319202"|"156954146"
"Coarse sandy loam"||"154321519"|"156954384"
"Silt loam"||"154320762"|"156953372"
