"SM"|No |"76206911"|"141191743"
"ML"|Yes|"76206911"|"141191744"
"CL"|No |"76206911"|"141191745"
"GW"|No |"76206908"|"141191716"
"GW-GM"|No |"76206908"|"141191717"
"GM"|No |"76206908"|"141191718"
"GC-GM"|No |"76206908"|"141191719"
"GC"|No |"76206908"|"141191720"
"SW"|No |"76206908"|"141191721"
"SW-SM"|No |"76206908"|"141191722"
"SM"|Yes|"76206908"|"141191723"
"SC-SM"|No |"76206908"|"141191724"
"SC"|No |"76206908"|"141191725"
"ML"|No |"76206908"|"141191726"
"CL-ML"|No |"76206908"|"141191727"
"CL"|No |"76206908"|"141191728"
"MH"|No |"76206908"|"141191729"
"SW-SM"|No |"76206907"|"141191713"
"SM"|Yes|"76206907"|"141191714"
"GP-GM"|No |"76206907"|"141191715"
"GW"|No |"76206909"|"141191730"
"GW-GM"|No |"76206909"|"141191731"
"GM"|No |"76206909"|"141191732"
"GC-GM"|No |"76206909"|"141191733"
"GC"|No |"76206909"|"141191734"
"SW"|No |"76206909"|"141191735"
"SW-SM"|No |"76206909"|"141191736"
"SM"|Yes|"76206909"|"141191737"
"SC-SM"|No |"76206909"|"141191738"
"SC"|No |"76206909"|"141191739"
"ML"|No |"76206909"|"141191740"
"CL-ML"|No |"76206909"|"141191741"
"CL"|No |"76206909"|"141191742"
"SM"|Yes|"76206903"|"141191690"
"SC-SM"|No |"76206903"|"141191691"
"ML"|No |"76206903"|"141191692"
"CL-ML"|No |"76206903"|"141191693"
"MH"|No |"76206903"|"141191694"
"SM"|No |"76206902"|"141191684"
"SC"|No |"76206902"|"141191685"
"ML"|No |"76206902"|"141191686"
"CL-ML"|No |"76206902"|"141191687"
"CL"|Yes|"76206902"|"141191688"
"SC-SM"|No |"76206902"|"141191689"
"SM"|No |"76206901"|"141191678"
"SC"|No |"76206901"|"141191679"
"ML"|No |"76206901"|"141191680"
"CL-ML"|No |"76206901"|"141191681"
"CL"|Yes|"76206901"|"141191682"
"SC-SM"|No |"76206901"|"141191683"
"SM"|No |"76206905"|"141191701"
"SC"|No |"76206905"|"141191702"
"ML"|No |"76206905"|"141191703"
"CL-ML"|No |"76206905"|"141191704"
"CL"|No |"76206905"|"141191705"
"SC-SM"|Yes|"76206905"|"141191706"
"SM"|No |"76206906"|"141191707"
"SC-SM"|Yes|"76206906"|"141191708"
"SC"|No |"76206906"|"141191709"
"ML"|No |"76206906"|"141191710"
"CL-ML"|No |"76206906"|"141191711"
"CL"|No |"76206906"|"141191712"
"SM"|No |"76206904"|"141191695"
"SC"|No |"76206904"|"141191696"
"ML"|No |"76206904"|"141191697"
"CL-ML"|No |"76206904"|"141191698"
"CL"|No |"76206904"|"141191699"
"SC-SM"|Yes|"76206904"|"141191700"
"GW"|No |"76206899"|"141191650"
"GP-GM"|No |"76206899"|"141191651"
"SP-SM"|No |"76206899"|"141191652"
"SM"|Yes|"76206899"|"141191653"
"CL"|No |"76206899"|"141191654"
"MH"|No |"76206899"|"141191655"
"GM"|No |"76206899"|"141191656"
"GC-GM"|No |"76206899"|"141191657"
"GC"|No |"76206899"|"141191658"
"SW"|No |"76206899"|"141191659"
"SC-SM"|No |"76206899"|"141191660"
"SC"|No |"76206899"|"141191661"
"ML"|No |"76206899"|"141191662"
"CL-ML"|No |"76206899"|"141191663"
"GP"|No |"76206899"|"141191664"
"OH"|No |"76206899"|"141191665"
"SM"|Yes|"76206898"|"141191646"
"ML"|No |"76206898"|"141191647"
"MH"|No |"76206898"|"141191648"
"OH"|No |"76206898"|"141191649"
"GC-GM"|No |"76206900"|"141191666"
"GC"|No |"76206900"|"141191667"
"ML"|No |"76206900"|"141191668"
"CL-ML"|No |"76206900"|"141191669"
"GP-GM"|No |"76206900"|"141191670"
"GM"|No |"76206900"|"141191671"
"CL"|No |"76206900"|"141191672"
"GW-GM"|No |"76206900"|"141191673"
"SC-SM"|Yes|"76206900"|"141191674"
"SP-SM"|No |"76206900"|"141191675"
"SM"|No |"76206900"|"141191676"
"SC"|No |"76206900"|"141191677"
"CL-ML"|No |"76206897"|"141191638"
"ML"|No |"76206897"|"141191639"
"SM"|No |"76206897"|"141191640"
"SC-SM"|No |"76206897"|"141191641"
"CL"|No |"76206897"|"141191642"
"SC"|Yes|"76206897"|"141191643"
"MH"|No |"76206897"|"141191644"
"OH"|No |"76206897"|"141191645"
"SC-SM"|No |"76206895"|"141191620"
"SM"|No |"76206895"|"141191621"
"SP-SM"|No |"76206895"|"141191622"
"SC"|No |"76206895"|"141191623"
"CL-ML"|No |"76206895"|"141191624"
"CL"|Yes|"76206895"|"141191625"
"GP-GM"|No |"76206895"|"141191626"
"ML"|No |"76206895"|"141191627"
"SC-SM"|No |"76206894"|"141191612"
"SM"|No |"76206894"|"141191613"
"SP-SM"|No |"76206894"|"141191614"
"SC"|Yes|"76206894"|"141191615"
"ML"|No |"76206894"|"141191616"
"CL-ML"|No |"76206894"|"141191617"
"GP-GM"|No |"76206894"|"141191618"
"CL"|No |"76206894"|"141191619"
"SC-SM"|Yes|"76206896"|"141191628"
"MH"|No |"76206896"|"141191629"
"ML"|No |"76206896"|"141191630"
"CL-ML"|No |"76206896"|"141191631"
"CL"|No |"76206896"|"141191632"
"OH"|No |"76206896"|"141191633"
"GP-GM"|No |"76206896"|"141191634"
"SM"|No |"76206896"|"141191635"
"SP-SM"|No |"76206896"|"141191636"
"SC"|No |"76206896"|"141191637"
"SW-SM"|No |"76206161"|"141188165"
"SM"|Yes|"76206161"|"141188166"
"GP-GM"|No |"76206161"|"141188167"
"GW-GM"|No |"76206163"|"141188182"
"GM"|No |"76206163"|"141188183"
"GC-GM"|No |"76206163"|"141188184"
"SM"|Yes|"76206163"|"141188185"
"SC-SM"|No |"76206163"|"141188186"
"SC"|No |"76206163"|"141188187"
"GW"|No |"76206163"|"141188188"
"ML"|No |"76206163"|"141188189"
"CL-ML"|No |"76206163"|"141188190"
"CL"|No |"76206163"|"141188191"
"GC"|No |"76206163"|"141188192"
"SW"|No |"76206163"|"141188193"
"SW-SM"|No |"76206163"|"141188194"
"GC-GM"|No |"76206162"|"141188168"
"GC"|No |"76206162"|"141188169"
"SW"|No |"76206162"|"141188170"
"SC"|No |"76206162"|"141188171"
"ML"|No |"76206162"|"141188172"
"CL-ML"|No |"76206162"|"141188173"
"GW"|No |"76206162"|"141188174"
"GW-GM"|No |"76206162"|"141188175"
"GM"|No |"76206162"|"141188176"
"SW-SM"|No |"76206162"|"141188177"
"SM"|Yes|"76206162"|"141188178"
"SC-SM"|No |"76206162"|"141188179"
"CL"|No |"76206162"|"141188180"
"MH"|No |"76206162"|"141188181"
"SM"|Yes|"76206158"|"141188133"
"ML"|No |"76206158"|"141188134"
"MH"|No |"76206158"|"141188135"
"OH"|No |"76206158"|"141188136"
"GC-GM"|No |"76206160"|"141188153"
"GC"|No |"76206160"|"141188154"
"ML"|No |"76206160"|"141188155"
"CL-ML"|No |"76206160"|"141188156"
"GP-GM"|No |"76206160"|"141188157"
"GM"|No |"76206160"|"141188158"
"CL"|No |"76206160"|"141188159"
"GW-GM"|No |"76206160"|"141188160"
"SC-SM"|Yes|"76206160"|"141188161"
"SP-SM"|No |"76206160"|"141188162"
"SM"|No |"76206160"|"141188163"
"SC"|No |"76206160"|"141188164"
"GW"|No |"76206159"|"141188137"
"GP-GM"|No |"76206159"|"141188138"
"SP-SM"|No |"76206159"|"141188139"
"SM"|Yes|"76206159"|"141188140"
"CL"|No |"76206159"|"141188141"
"MH"|No |"76206159"|"141188142"
"GM"|No |"76206159"|"141188143"
"GC-GM"|No |"76206159"|"141188144"
"GC"|No |"76206159"|"141188145"
"SW"|No |"76206159"|"141188146"
"SC-SM"|No |"76206159"|"141188147"
"SC"|No |"76206159"|"141188148"
"ML"|No |"76206159"|"141188149"
"CL-ML"|No |"76206159"|"141188150"
"GP"|No |"76206159"|"141188151"
"OH"|No |"76206159"|"141188152"
"SM"|No |"76206157"|"141188127"
"SC-SM"|Yes|"76206157"|"141188128"
"SC"|No |"76206157"|"141188129"
"ML"|No |"76206157"|"141188130"
"CL-ML"|No |"76206157"|"141188131"
"CL"|No |"76206157"|"141188132"
"SM"|No |"76206155"|"141188115"
"SC"|No |"76206155"|"141188116"
"ML"|No |"76206155"|"141188117"
"CL-ML"|No |"76206155"|"141188118"
"CL"|No |"76206155"|"141188119"
"SC-SM"|Yes|"76206155"|"141188120"
"SM"|No |"76206153"|"141188104"
"SC"|No |"76206153"|"141188105"
"ML"|No |"76206153"|"141188106"
"CL-ML"|No |"76206153"|"141188107"
"CL"|Yes|"76206153"|"141188108"
"SC-SM"|No |"76206153"|"141188109"
"SM"|No |"76206152"|"141188098"
"SC"|No |"76206152"|"141188099"
"ML"|No |"76206152"|"141188100"
"CL-ML"|No |"76206152"|"141188101"
"CL"|Yes|"76206152"|"141188102"
"SC-SM"|No |"76206152"|"141188103"
"SM"|Yes|"76206154"|"141188110"
"SC-SM"|No |"76206154"|"141188111"
"ML"|No |"76206154"|"141188112"
"CL-ML"|No |"76206154"|"141188113"
"MH"|No |"76206154"|"141188114"
"SM"|No |"76206156"|"141188121"
"SC"|No |"76206156"|"141188122"
"ML"|No |"76206156"|"141188123"
"CL-ML"|No |"76206156"|"141188124"
"CL"|No |"76206156"|"141188125"
"SC-SM"|Yes|"76206156"|"141188126"
"CL-ML"|No |"76206151"|"141188090"
"ML"|No |"76206151"|"141188091"
"SM"|No |"76206151"|"141188092"
"SC-SM"|No |"76206151"|"141188093"
"CL"|No |"76206151"|"141188094"
"SC"|Yes|"76206151"|"141188095"
"MH"|No |"76206151"|"141188096"
"OH"|No |"76206151"|"141188097"
"SC-SM"|No |"76206149"|"141188072"
"SM"|No |"76206149"|"141188073"
"SP-SM"|No |"76206149"|"141188074"
"SC"|No |"76206149"|"141188075"
"CL-ML"|No |"76206149"|"141188076"
"CL"|Yes|"76206149"|"141188077"
"GP-GM"|No |"76206149"|"141188078"
"ML"|No |"76206149"|"141188079"
"SC-SM"|No |"76206148"|"141188064"
"SM"|No |"76206148"|"141188065"
"SP-SM"|No |"76206148"|"141188066"
"SC"|Yes|"76206148"|"141188067"
"ML"|No |"76206148"|"141188068"
"CL-ML"|No |"76206148"|"141188069"
"GP-GM"|No |"76206148"|"141188070"
"CL"|No |"76206148"|"141188071"
"SC-SM"|Yes|"76206150"|"141188080"
"MH"|No |"76206150"|"141188081"
"ML"|No |"76206150"|"141188082"
"CL-ML"|No |"76206150"|"141188083"
"CL"|No |"76206150"|"141188084"
"OH"|No |"76206150"|"141188085"
"GP-GM"|No |"76206150"|"141188086"
"SM"|No |"76206150"|"141188087"
"SP-SM"|No |"76206150"|"141188088"
"SC"|No |"76206150"|"141188089"
"ML"|No |"76206143"|"141188025"
"SM"|No |"76206143"|"141188026"
"OH"|Yes|"76206143"|"141188027"
"SC-SM"|No |"76206142"|"141188019"
"SC"|Yes|"76206142"|"141188020"
"CL"|No |"76206142"|"141188021"
"CL-ML"|No |"76206142"|"141188022"
"SM"|No |"76206142"|"141188023"
"ML"|No |"76206142"|"141188024"
"GC-GM"|Yes|"76206145"|"141188033"
"GW-GM"|No |"76206145"|"141188034"
"GC"|No |"76206145"|"141188035"
"SW"|No |"76206145"|"141188036"
"GM"|No |"76206145"|"141188037"
"SM"|No |"76206145"|"141188038"
"GW"|No |"76206145"|"141188039"
"SW-SM"|No |"76206145"|"141188040"
"SC-SM"|No |"76206145"|"141188041"
