|||"Talf"|"40831797"|"16124390"
|||"Talf"|"40830921"|"16123324"
|||"Talf"|"40831116"|"16123431"
|||"Talf"|"40831786"|"16123832"
|"Crest"|||"40831786"|"16123833"
|"Side Slope"|||"40831786"|"16123834"
|"Base Slope"|||"40831786"|"16123835"
|||"Talf"|"40831604"|"16124396"
|||"Talf"|"40830947"|"16123335"
|||"Talf"|"40831738"|"16123334"
|||"Talf"|"40831606"|"16123904"
|"Crest"|||"40831606"|"16123905"
|"Side Slope"|||"40831606"|"16123906"
|"Base Slope"|||"40831606"|"16123907"
|||"Talf"|"40830928"|"16123952"
|"Crest"|||"40830928"|"16123953"
|"Side Slope"|||"40830928"|"16123954"
|"Base Slope"|||"40830928"|"16123955"
|"Base Slope"|||"40831985"|"16124314"
|"Side Slope"|||"40831985"|"16124315"
|||"Talf"|"40831985"|"16124316"
|||"Talf"|"40830677"|"16123516"
|"Side Slope"|||"40831279"|"16123628"
|"Crest"|||"40831279"|"16123629"
|"Base Slope"|||"40831279"|"16123630"
|||"Talf"|"40831279"|"16123631"
|"Side Slope"|||"40831730"|"16123668"
|"Crest"|||"40831730"|"16123669"
|"Base Slope"|||"40831730"|"16123670"
|||"Talf"|"40831730"|"16123671"
|||"Talf"|"40831552"|"16123824"
|"Crest"|||"40831552"|"16123825"
|"Side Slope"|||"40831552"|"16123826"
|"Base Slope"|||"40831552"|"16123827"
|"Base Slope"|||"40830782"|"16124287"
|"Side Slope"|||"40830782"|"16124288"
|||"Talf"|"40830782"|"16124289"
|"Base Slope"|||"40831974"|"16124185"
|"Side Slope"|||"40831974"|"16124186"
|"Crest"|||"40831974"|"16124187"
|||"Rise"|"40831974"|"16124188"
|||"Dip"|"40831974"|"16124189"
|||"Talf"|"40831974"|"16124190"
|"Base Slope"|||"40831557"|"16124284"
|"Side Slope"|||"40831557"|"16124285"
|||"Talf"|"40831557"|"16124286"
|"Base Slope"|||"40831119"|"16124059"
|"Side Slope"|||"40831119"|"16124060"
|"Crest"|||"40831119"|"16124061"
|||"Rise"|"40831119"|"16124062"
|||"Dip"|"40831119"|"16124063"
|||"Talf"|"40831119"|"16124064"
|||"Talf"|"40831971"|"16123323"
|"Base Slope"|||"40831794"|"16124107"
|"Side Slope"|||"40831794"|"16124108"
|"Crest"|||"40831794"|"16124109"
|||"Rise"|"40831794"|"16124110"
|||"Dip"|"40831794"|"16124111"
|||"Talf"|"40831794"|"16124112"
|"Base Slope"|||"40831601"|"16124191"
|"Side Slope"|||"40831601"|"16124192"
|"Crest"|||"40831601"|"16124193"
|||"Rise"|"40831601"|"16124194"
|||"Dip"|"40831601"|"16124195"
|||"Talf"|"40831601"|"16124196"
|"Side Slope"|||"40831982"|"16123620"
|"Crest"|||"40831982"|"16123621"
|"Base Slope"|||"40831982"|"16123622"
|||"Talf"|"40831982"|"16123623"
|"Base Slope"|||"40831277"|"16124320"
|"Side Slope"|||"40831277"|"16124321"
|||"Talf"|"40831277"|"16124322"
|"Side Slope"|||"40830949"|"16123725"
|"Base Slope"|||"40830949"|"16123726"
|"Crest"|||"40830949"|"16123727"
|||"Talf"|"40830949"|"16123728"
|||"Rise"|"40830949"|"16123729"
|||"Talf"|"40831598"|"16124477"
|"Base Slope"|||"40831128"|"16124278"
|"Side Slope"|||"40831128"|"16124279"
|||"Talf"|"40831128"|"16124280"
|||"Talf"|"40830669"|"16124369"
|||"Talf"|"40830685"|"16123437"
|||"Talf"|"40831740"|"16123948"
|"Crest"|||"40831740"|"16123949"
|"Side Slope"|||"40831740"|"16123950"
|"Base Slope"|||"40831740"|"16123951"
|"Base Slope"|||"40830951"|"16124245"
|"Side Slope"|||"40830951"|"16124246"
|"Crest"|||"40830951"|"16124247"
|||"Rise"|"40830951"|"16124248"
|||"Dip"|"40830951"|"16124249"
|||"Talf"|"40830951"|"16124250"
|||"Talf"|"40831269"|"16124397"
|"Base Slope"|||"40831792"|"16124290"
|"Side Slope"|||"40831792"|"16124291"
|||"Talf"|"40831792"|"16124292"
|"Base Slope"|||"40830784"|"16124101"
|"Side Slope"|||"40830784"|"16124102"
|"Crest"|||"40830784"|"16124103"
|||"Rise"|"40830784"|"16124104"
|||"Dip"|"40830784"|"16124105"
|||"Talf"|"40830784"|"16124106"
|||"Talf"|"40831733"|"16123321"
|||"Talf"|"40831979"|"16123900"
|"Crest"|||"40831979"|"16123901"
|"Side Slope"|||"40831979"|"16123902"
|"Base Slope"|||"40831979"|"16123903"
|"Side Slope"|||"40830671"|"16123700"
|"Base Slope"|||"40830671"|"16123701"
|"Crest"|||"40830671"|"16123702"
|||"Talf"|"40830671"|"16123703"
|||"Rise"|"40830671"|"16123704"
|"Base Slope"|||"40830673"|"16124299"
|"Side Slope"|||"40830673"|"16124300"
|||"Talf"|"40830673"|"16124301"
|||"Talf"|"40830926"|"16123339"
|||"Talf"|"40830776"|"16123828"
|"Crest"|||"40830776"|"16123829"
|"Side Slope"|||"40830776"|"16123830"
|"Base Slope"|||"40830776"|"16123831"
|||"Talf"|"40830680"|"16123880"
|"Crest"|||"40830680"|"16123881"
|"Side Slope"|||"40830680"|"16123882"
|"Base Slope"|||"40830680"|"16123883"
|"Base Slope"|||"40831609"|"16124317"
|"Side Slope"|||"40831609"|"16124318"
|||"Talf"|"40831609"|"16124319"
||"Tread"||"40830682"|"16124341"
|"Side Slope"|||"40831611"|"16123624"
|"Crest"|||"40831611"|"16123625"
|"Base Slope"|||"40831611"|"16123626"
|||"Talf"|"40831611"|"16123627"
|||"Talf"|"40831125"|"16123260"
|"Crest"|||"40831125"|"16123261"
|"Side Slope"|||"40831125"|"16123262"
|"Base Slope"|||"40831125"|"16123263"
|||"Talf"|"40831274"|"16123908"
|"Crest"|||"40831274"|"16123909"
|"Side Slope"|||"40831274"|"16123910"
|"Base Slope"|||"40831274"|"16123911"
|"Side Slope"|||"40830930"|"16123672"
|"Crest"|||"40830930"|"16123673"
|"Base Slope"|||"40830930"|"16123674"
|||"Talf"|"40830930"|"16123675"
|||"Talf"|"40830959"|"16123940"
|"Crest"|||"40830959"|"16123941"
|"Side Slope"|||"40830959"|"16123942"
|"Base Slope"|||"40830959"|"16123943"
|||"Talf"|"40830956"|"16123522"
|||"Talf"|"40830787"|"16124389"
||"Tread"||"40830683"|"16124342"
|"Side Slope"|||"40831559"|"16123576"
|"Crest"|||"40831559"|"16123577"
|"Base Slope"|||"40831559"|"16123578"
|||"Talf"|"40831559"|"16123579"
|"Side Slope"|||"40831789"|"16123580"
|"Crest"|||"40831789"|"16123581"
|"Base Slope"|||"40831789"|"16123582"
|||"Talf"|"40831789"|"16123583"
|"Base Slope"|||"40831562"|"16124095"
|"Side Slope"|||"40831562"|"16124096"
|"Crest"|||"40831562"|"16124097"
|||"Rise"|"40831562"|"16124098"
|||"Dip"|"40831562"|"16124099"
|||"Talf"|"40831562"|"16124100"
|"Base Slope"|||"40831736"|"16124257"
|"Side Slope"|||"40831736"|"16124258"
|"Crest"|||"40831736"|"16124259"
|||"Rise"|"40831736"|"16124260"
|||"Dip"|"40831736"|"16124261"
|||"Talf"|"40831736"|"16124262"
|||"Talf"|"40831555"|"16124388"
|"Base Slope"|||"40830924"|"16124263"
|"Side Slope"|||"40830924"|"16124264"
|"Crest"|||"40830924"|"16124265"
|||"Rise"|"40830924"|"16124266"
|||"Dip"|"40830924"|"16124267"
|||"Talf"|"40830924"|"16124268"
|"Side Slope"|||"40830953"|"16123660"
|"Crest"|||"40830953"|"16123661"
|"Base Slope"|||"40830953"|"16123662"
|||"Talf"|"40830953"|"16123663"
|"Base Slope"|||"40831282"|"16124197"
|"Side Slope"|||"40831282"|"16124198"
|"Crest"|||"40831282"|"16124199"
|||"Rise"|"40831282"|"16124200"
|||"Dip"|"40831282"|"16124201"
|||"Talf"|"40831282"|"16124202"
|"Base Slope"|||"40830675"|"16124149"
|"Side Slope"|||"40830675"|"16124150"
|"Crest"|||"40830675"|"16124151"
|||"Rise"|"40830675"|"16124152"
|||"Dip"|"40830675"|"16124153"
