LegendText,RgbString
"Aquic Arenic Paleudults","#8B995C"
"Cumulic Humaquepts","#8B995C"
"Dystric Eutrudepts","#8B995C"
"Entic Haploxererts","#8B995C"
"Histic Vitraquands","#8B995C"
"Lithic Acrotorrox","#8B995C"
"Lithic Haplocalcids","#8B995C"
"Mollic Paleudalfs","#8B995C"
"Nitric Anhyturbels","#8B995C"
"Oxyaquic Haplogelolls","#8B995C"
"Plinthic Kandiustults","#8B995C"
"Torrertic Natriborolls","#8B995C"
"Typic Placudands","#8B995C"
"Ustertic Torriorthents","#8B995C"
"Not rated or not available","#DCDCDC"
