LegendText,RgbString
"Acraquox","#8E7E5A"
"Acrohumox","#5F70D0"
"Acroperox","#60A8C4"
"Acrorthox","#A45DDE"
"Acrotorrox","#6092C9"
"Acrudox","#DC5CE6"
"Acrustox","#5FB078"
"Agrudalfs","#5F6BD1"
"Alaquods","#E85BE4"
"Albaqualfs","#C65CE3"
"Albaquults","#60B590"
"Alorthods","#93915B"
"Andaquepts","#60BAA7"
"Anhyorthels","#6093C9"
"Anhyturbels","#A55DDE"
"Anthracambids","#5FAB64"
"Aquicambids","#866557"
"Aquisalids","#928A5B"
"Aquiturbels","#60B591"
"Aquorthels","#8D985C"
"Arents","#F85777"
"Argialbolls","#EF5AB8"
"Argiaquolls","#E65CE7"
"Argiborolls","#D45CE5"
"Argicryids","#92965C"
"Argicryolls","#60B1C2"
"Argidurids","#60B7C0"
"Argigypsids","#91965C"
"Argiorthels","#5FB07B"
"Argiudolls","#8F975C"
"Argiustolls","#876A58"
"Argixerolls","#AB5DDF"
"Borofibrists","#F6588A"
"Borofolists","#F55894"
"Borohemists","#846057"
"Borosaprists","#938F5B"
"Calciaquerts","#71A45E"
"Calciaquolls","#94955B"
"Calciargids","#5FAB65"
"Calciborolls","#DA5CE6"
"Calcicryepts","#60B9A1"
"Calcicryids","#5FAF74"
"Calcicryolls","#60BCB2"
"Calcigypsids","#8B7459"
"Calciorthids","#5F7DCD"
"Calcitorrerts","#79A15E"
"Calciudolls","#60B79C"
"Calciustepts","#EC5BD0"
"Calciusterts","#5FAE71"
"Calciustolls","#6087CB"
"Calcixerepts","#6EA45E"
"Calcixererts","#76A25E"
"Calcixerolls","#5FAF76"
"Camborthids","#60B9BF"
"Chromoxererts","#60ACC3"
"Chromuderts","#7F5ED8"
"Chromusterts","#B65DE1"
"Cryandepts","#829D5D"
"Cryaqualfs","#5F7BCE"
"Cryaquands","#7A5ED8"
"Cryaquents","#5F6AD1"
"Cryaquepts","#835D56"
"Cryaquods","#775ED7"
"Cryaquolls","#5FB17C"
"Cryoboralfs","#835E57"
"Cryoborolls","#FC565A"
"Cryochrepts","#5FB07A"
"Cryofibrists","#876858"
"Cryofluvents","#886B58"
"Cryofolists","#60AFC2"
"Cryohemists","#5FAB66"
"Cryohumods","#F059B0"
"Cryopsamments","#695FD5"
"Cryorthents","#8D7A59"
"Cryorthods","#5F81CC"
"Cryosaprists","#859C5D"
"Cryrendolls","#5FAD6C"
"Cryumbrepts","#928D5B"
"Durandepts","#856457"
"Duraqualfs","#725ED6"
"Duraquands","#FA576A"
"Duraquerts","#6097C8"
"Duraquods","#EB5BD2"
"Duraquolls","#5FAC6B"
"Durargids","#72A35E"
"Duricryands","#5F5FD3"
"Duricryods","#E95BDE"
